	?股票代码	?股票简称	?申购代码	?发行总数（万股）	?网上发行（万股）	?申购上限（万股）	?发行价格	?发行市盈率	?行业市盈率	?申购日期	?冻结资金（亿元）	?询价累计报价倍数	?中签率（%）	?每中一签（万元）	?中签号	?上市日期	?打新收益（元）	?涨停数量	新股详情	收益率/%
20	2739	万达院线	2739	6000	5400	1.8	21.35	22.96	65.18	01-14周三	1337	108	0.86	124	查看	22-Jan	33765	12	详细?公告	2.72
21	300364	中文在线	300364	3000	2700	1.2	6.81	22.87	33.85	01-14周三	347	106	0.53	64	查看	21-Jan	15230	14	详细?公告	2.38
22	601069	西部黄金	780069	12600	11340	3.7	3.57	22.31	48.39	01-14周三	532	70	0.76	47	查看	22-Jan	12550	12	详细?公告	2.67
23	300419	浩丰科技	300419	1030	927	0.4	28.81	22.94	72.48	01-15周四	476	69	0.56	257	查看	22-Jan	44770	11	详细?公告	1.74
24	603899	晨光文具	732899	6000	5400	1.8	13.15	22.99	70.83	01-15周四	1028	73	0.69	190	查看	27-Jan	24850	8	详细?公告	1.31
25	603686	龙马环卫	732686	3335	3001	1.3	14.86	21.23	42.08	01-15周四	858	80	0.52	286	查看	26-Jan	28140	9	详细?公告	0.98
26	603600	永艺股份	732600	2500	2250	1	10.22	22.71	34.61	01-15周四	508	57	0.45	226	查看	23-Jan	25780	10	详细?公告	1.14
27	300416	苏试试验	300416	1570	1413	0.6	11.48	22.96	49.16	01-15周四	356	89	0.45	126	查看	22-Jan	17840	11	详细?公告	1.42
28	603558	健盛集团	732558	2000	1800	0.8	19.25	22.92	27.96	01-15周四	506	40	0.68	282	查看	27-Jan	25390	5	详细?公告	0.90
29	603799	华友钴业	732799	9100	8190	2.7	4.77	22.94	38.67	01-16周五	731	123	0.53	89	查看	29-Jan	19730	14	详细?公告	2.22
30	603698	航天工程	732698	8230	7407	2.4	12.52	22.97	40.55	01-16周五	1525	95	0.61	206	查看	28-Jan	22600	7	详细?公告	1.10
31	2741	光华科技	2741	3000	2700	1.2	12.31	22.8	38.2	02-09周一	835	97	0.4	155	查看	16-Feb	10845	7	详细?公告	0.70
